node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,method
4933,84,99.98,17.49,17.49,82.51,3,0.03,ROUNDING_DOWN
7181,100,99.99,66.98,66.98,33.02,3,0.05,ROUNDING_DOWN
1380,46,4.49,27.06,30.3,62.24,1,0.15,ROUNDING_DOWN
5054,85,1.66,27.16,38.89,42.69,1,0.71,ROUNDING_DOWN
1270,45,99.92,40.52,40.52,59.48,2,0.01,ROUNDING_DOWN
326,25,99.69,15.5,15.5,84.5,1,0.0,ROUNDING_DOWN
249,22,99.6,19.04,19.04,80.96,3,0.0,ROUNDING_DOWN
1287,45,7.85,25.35,26.21,71.35,1,0.2,ROUNDING_DOWN
3250,69,4.0,39.91,51.47,37.63,2,0.69,ROUNDING_DOWN
3946,75,99.97,50.1,50.1,49.9,3,0.03,ROUNDING_DOWN
100,15,4.0,23.57,50.0,23.57,1,0.0,ROUNDING_DOWN
561,32,99.82,19.88,19.88,80.12,1,0.0,ROUNDING_DOWN
210,21,99.52,8.08,8.08,91.92,3,0.0,ROUNDING_DOWN
1148,43,15.51,56.88,57.62,41.83,2,0.3,ROUNDING_DOWN
5482,88,5.78,57.2,60.94,36.67,3,2.6,ROUNDING_DOWN
4453,80,1.06,17.55,37.04,29.83,1,0.4,ROUNDING_DOWN
3973,77,99.97,7.32,7.32,92.68,2,0.03,ROUNDING_DOWN
3465,71,0.92,13.35,38.32,21.48,1,0.24,ROUNDING_DOWN
6676,97,99.99,23.5,23.5,76.5,2,0.05,ROUNDING_DOWN
2643,63,99.96,46.3,46.3,53.7,2,0.02,ROUNDING_DOWN
770,35,5.45,26.18,33.73,51.43,1,0.08,ROUNDING_DOWN
412,27,99.76,25.86,25.86,74.14,3,0.0,ROUNDING_DOWN
714,35,8.82,16.98,18.3,75.77,1,0.08,ROUNDING_DOWN
4679,82,6.69,67.26,70.34,28.37,3,2.17,ROUNDING_DOWN
926,38,99.89,37.27,37.27,62.73,3,0.01,ROUNDING_DOWN
571,31,5.08,29.89,70.15,12.72,2,0.05,ROUNDING_DOWN
218,22,99.54,14.37,14.37,85.63,1,0.0,ROUNDING_DOWN
6488,96,2.64,23.96,26.17,67.59,1,1.71,ROUNDING_DOWN
6448,96,99.98,23.48,23.48,76.52,3,0.04,ROUNDING_DOWN
2063,55,99.95,30.84,30.84,69.16,3,0.01,ROUNDING_DOWN
4416,80,99.98,30.67,30.67,69.33,3,0.03,ROUNDING_DOWN
2945,66,7.74,16.4,16.67,81.98,2,0.99,ROUNDING_DOWN
1637,50,8.0,20.49,21.03,76.98,1,0.33,ROUNDING_DOWN
2266,58,8.96,37.23,38.26,60.07,2,0.7,ROUNDING_DOWN
241,21,99.59,35.34,35.34,64.66,2,0.0,ROUNDING_DOWN
249,24,99.6,3.32,3.32,96.68,2,0.0,ROUNDING_DOWN
1454,48,2.96,15.44,23.78,49.48,1,0.12,ROUNDING_DOWN
2829,65,1.98,25.14,34.6,47.53,1,0.29,ROUNDING_DOWN
356,26,9.27,30.54,85.25,5.28,3,0.03,ROUNDING_DOWN
1412,47,3.12,22.95,30.3,52.79,1,0.13,ROUNDING_DOWN
6272,94,0.59,15.8,46.92,17.88,1,0.51,ROUNDING_DOWN
721,35,99.86,11.42,11.42,88.58,3,0.01,ROUNDING_DOWN
154,19,99.35,6.95,6.95,93.05,1,0.0,ROUNDING_DOWN
3815,75,1.76,31.74,46.07,37.15,1,0.5,ROUNDING_DOWN
1668,51,10.37,46.96,48.32,50.22,2,0.44,ROUNDING_DOWN
3920,76,99.97,9.82,9.82,90.18,2,0.03,ROUNDING_DOWN
1155,43,5.19,31.3,35.55,56.75,1,0.12,ROUNDING_DOWN
292,23,13.7,40.4,48.11,43.57,2,0.03,ROUNDING_DOWN
867,38,99.88,52.51,52.51,47.49,3,0.01,ROUNDING_DOWN
291,24,99.66,32.13,32.13,67.87,3,0.0,ROUNDING_DOWN
199,20,5.53,25.93,44.83,31.92,1,0.01,ROUNDING_DOWN
618,33,9.55,68.03,79.69,17.34,3,0.07,ROUNDING_DOWN
3376,70,2.01,18.88,25.24,55.92,1,0.43,ROUNDING_DOWN
4735,83,6.88,67.05,69.14,29.92,3,2.57,ROUNDING_DOWN
1775,52,8.51,56.59,60.28,37.29,2,0.49,ROUNDING_DOWN
462,29,99.78,9.14,9.14,90.86,3,0.0,ROUNDING_DOWN
4793,83,1.59,23.8,34.17,45.85,1,0.69,ROUNDING_DOWN
2549,61,7.22,63.97,71.99,24.88,3,0.73,ROUNDING_DOWN
3763,74,99.97,45.69,45.69,54.31,3,0.03,ROUNDING_DOWN
3035,67,1.61,25.22,44.74,31.15,1,0.29,ROUNDING_DOWN
